[1;34m[src/device/io/mmio.c,18,add_mmio_map] Add mmio map 'flash' at [0x0000000010000000, 0x00000000100000ff][0m
Store addr:8000ff88, mask:11111111, data:214314ba28fe4234, at PC: 80000130
Load  addr:80006d28, mask:00000001, data:0000000000000068, at PC: 80004d9c
Load  addr:80006310, mask:00000001, data:0000000000000000, at PC: 80004da8
Load  addr:80006d28, mask:00000001, data:0000000000000068, at PC: 80004d9c
Load  addr:80006288, mask:00000001, data:0000000000000074, at PC: 80004da8
Store addr:8000ff48, mask:11111111, data:fffffffffffffff4, at PC: 8000015c
Load  addr:80006d28, mask:00000001, data:0000000000000068, at PC: 80004d9c
Load  addr:80006290, mask:00000001, data:0000000000000074, at PC: 80004da8
Store addr:8000ff48, mask:11111111, data:0000000000000001, at PC: 80000178
Load  addr:80006d28, mask:00000001, data:0000000000000068, at PC: 80004d9c
Load  addr:80006248, mask:00000001, data:0000000000000072, at PC: 80004da8
Store addr:8000ff48, mask:11111111, data:0000000000000002, at PC: 800004dc
Load  addr:80006d28, mask:00000001, data:0000000000000068, at PC: 80004d9c
Load  addr:80006298, mask:00000001, data:0000000000000068, at PC: 80004da8
Load  addr:80006d29, mask:00000010, data:0000000000000075, at PC: 80004d9c
Load  addr:80006299, mask:00000010, data:0000000000000075, at PC: 80004da8
Load  addr:80006d2a, mask:00000100, data:0000000000000067, at PC: 80004d9c
Load  addr:8000629a, mask:00000100, data:0000000000000067, at PC: 80004da8
Load  addr:80006d2b, mask:00001000, data:0000000000000065, at PC: 80004d9c
Load  addr:8000629b, mask:00001000, data:0000000000000065, at PC: 80004da8
Load  addr:80006d2c, mask:00010000, data:0000000000000000, at PC: 80004d9c
Load  addr:8000629c, mask:00010000, data:0000000000000000, at PC: 80004da8
Store addr:8000ff48, mask:11111111, data:0000000000000003, at PC: 800004f8
Store addr:8000ff38, mask:11111111, data:0000000080000184, at PC: 80004a80
Load  addr:800074e0, mask:11111111, data:0000000000000000, at PC: 80004aa8
Store addr:800074e0, mask:11111111, data:0000000080004a14, at PC: 80004ab0
Load  addr:800074e8, mask:11111111, data:0000000000000000, at PC: 80004aa8
Store addr:800074e8, mask:11111111, data:0000000080004a14, at PC: 80004ab0
Load  addr:800074f0, mask:11111111, data:0000000000000000, at PC: 80004aa8
Store addr:800074f0, mask:11111111, data:0000000080004a14, at PC: 80004ab0
Load  addr:800074f8, mask:11111111, data:0000000000000000, at PC: 80004aa8
Store addr:800074f8, mask:11111111, data:0000000080004a14, at PC: 80004ab0
Load  addr:80007500, mask:11111111, data:00000000800049f8, at PC: 80004aa8
Store addr:80007500, mask:11111111, data:0000000080004a14, at PC: 80004ab0
Load  addr:80007508, mask:11111111, data:0000000080004d28, at PC: 80004aa8
Store addr:80007508, mask:11111111, data:0000000080004a14, at PC: 80004ab0
Load  addr:80007510, mask:11111111, data:0000000080004af0, at PC: 80004aa8
Store addr:80007510, mask:11111111, data:0000000080004a14, at PC: 80004ab0
Load  addr:80007518, mask:11111111, data:0000000080004a08, at PC: 80004aa8
Store addr:80007518, mask:11111111, data:0000000080004a14, at PC: 80004ab0
Load  addr:80007520, mask:11111111, data:0000000080004d90, at PC: 80004aa8
Store addr:80007520, mask:11111111, data:0000000080004a14, at PC: 80004ab0
Load  addr:80007528, mask:11111111, data:0000000000000000, at PC: 80004aa8
Store addr:80007528, mask:11111111, data:0000000080004a14, at PC: 80004ab0
Load  addr:80007530, mask:11111111, data:0000000000000000, at PC: 80004aa8
Store addr:80007530, mask:11111111, data:0000000080004a14, at PC: 80004ab0
Load  addr:80007538, mask:11111111, data:0000000000000000, at PC: 80004aa8
Store addr:80007538, mask:11111111, data:0000000080004a14, at PC: 80004ab0
Load  addr:80007540, mask:11111111, data:0000000000000000, at PC: 80004aa8
Store addr:80007540, mask:11111111, data:0000000080004a14, at PC: 80004ab0
Load  addr:80007548, mask:11111111, data:0000000000000000, at PC: 80004aa8
